ds,yhat_mean,yhat_lower,yhat_upper
2019-05-29 00:00:00,20.338069915771484,,
2019-05-29 01:00:00,20.350414276123047,,
2019-05-29 02:00:00,20.448732376098633,,
2019-05-29 03:00:00,20.103923797607422,,
2019-05-29 04:00:00,20.400062561035156,,
2019-05-29 05:00:00,20.221288681030273,,
2019-05-29 06:00:00,20.19879722595215,,
2019-05-29 07:00:00,20.229389190673828,,
2019-05-29 08:00:00,20.2423152923584,,
2019-05-29 09:00:00,20.106061935424805,,
2019-05-29 10:00:00,19.954853057861328,,
2019-05-29 11:00:00,20.08238983154297,,
2019-05-29 12:00:00,20.00634002685547,,
2019-05-29 13:00:00,20.283649444580078,,
2019-05-29 14:00:00,19.962427139282227,,
2019-05-29 15:00:00,20.24164390563965,,
2019-05-29 16:00:00,20.249305725097656,,
2019-05-29 17:00:00,20.555614471435547,,
2019-05-29 18:00:00,20.667579650878906,,
2019-05-29 19:00:00,21.00128746032715,,
2019-05-29 20:00:00,20.84457778930664,,
2019-05-29 21:00:00,21.03887939453125,,
2019-05-29 22:00:00,20.603160858154297,,
2019-05-29 23:00:00,20.691547393798828,,
2019-05-30 00:00:00,20.702054977416992,,
2019-05-30 01:00:00,20.639698028564453,,
2019-05-30 02:00:00,20.542734146118164,,
2019-05-30 03:00:00,20.822359085083008,,
2019-05-30 04:00:00,20.708036422729492,,
2019-05-30 05:00:00,20.737401962280273,,
2019-05-30 06:00:00,20.614606857299805,,
2019-05-30 07:00:00,20.552736282348633,,
2019-05-30 08:00:00,20.536699295043945,,
2019-05-30 09:00:00,20.241966247558594,,
2019-05-30 10:00:00,20.18121910095215,,
2019-05-30 11:00:00,20.386343002319336,,
2019-05-30 12:00:00,20.269380569458008,,
2019-05-30 13:00:00,20.15817642211914,,
2019-05-30 14:00:00,20.0681209564209,,
2019-05-30 15:00:00,20.63326644897461,,
2019-05-30 16:00:00,20.75259780883789,,
2019-05-30 17:00:00,20.694347381591797,,
2019-05-30 18:00:00,20.778404235839844,,
2019-05-30 19:00:00,20.98297119140625,,
2019-05-30 20:00:00,20.92293930053711,,
2019-05-30 21:00:00,20.945375442504883,,
2019-05-30 22:00:00,20.990650177001953,,
2019-05-30 23:00:00,20.806983947753906,,
