ds,trend,daily,weekly,yearly
2019-05-29 00:00:00,21.453258271996663,0.18280832767842595,-0.028220654432464354,-1.2697760294711404
2019-05-29 01:00:00,21.651345008412026,-0.046402997057032755,0.0024548629445305496,-1.2569825981764773
2019-05-29 02:00:00,21.82262565853341,-0.16179385040406188,0.0319835491129223,-1.2440829811436376
2019-05-29 03:00:00,21.291833724565656,-0.017075430820845203,0.060242989165721364,-1.2310774853031108
2019-05-29 04:00:00,21.22402714699023,0.3068684301752027,0.08713340706239023,-1.2179664231926672
2019-05-29 05:00:00,20.761937168391455,0.5515228915343969,0.11257873405596809,-1.2047501129515479
2019-05-29 06:00:00,20.73897579843043,0.5147229674206886,0.13652733840227008,-1.1914288783012401
2019-05-29 07:00:00,21.015060311451585,0.23337952107351506,0.15895240668602406,-1.1780030485372956
2019-05-29 08:00:00,21.2986211938343,-0.07168491471666116,0.1798519717604245,-1.164472958519665
2019-05-29 09:00:00,21.290052406936745,-0.23240010982787976,0.1992485869661186,-1.1508389486501795
2019-05-29 10:00:00,21.180556542359888,-0.3057907705988945,0.21718865097181814,-1.1371013648714847
2019-05-29 11:00:00,21.4688623976502,-0.49695339971488245,0.23374139225170518,-1.123260558644053
2019-05-29 12:00:00,21.769428502996863,-0.9027691159084537,0.2489975267023211,-1.109316886935262
2019-05-29 13:00:00,22.45570529985456,-1.3398527493468808,0.2630676062821233,-1.0952707122097252
2019-05-29 14:00:00,22.218990955034,-1.4515214940113244,0.27608008066938006,-1.0811224024098285
2019-05-29 15:00:00,22.037537662531147,-1.0172005237453365,0.28817909779515627,-1.0668723309413195
2019-05-29 16:00:00,21.1812529254436,-0.17894839624402037,0.2995220725604429,-1.0525208766623666
2019-05-29 17:00:00,20.64687803037554,0.6365278086349435,0.31027705629308505,-1.0380684238680211
2019-05-29 18:00:00,20.32916634184028,1.041308729198314,0.3206199421079472,-1.023515362267637
2019-05-29 19:00:00,20.711745460025476,0.967672543618752,0.33073154366158175,-1.0088620869786615
2019-05-29 20:00:00,20.834166532167703,0.6637256690830153,0.34079458656522027,-0.9941089985092978
2019-05-29 21:00:00,21.236540088246656,0.4306051560175763,0.350990653000245,-0.9792565027332285
2019-05-29 22:00:00,20.842894329835126,0.36307441839729193,0.3614971208085101,-0.9643050108866302
2019-05-29 23:00:00,20.938140905141456,0.33017728959351944,0.3724841386075489,-0.9492549395436949
2019-05-30 00:00:00,21.069241682234807,0.18280832766659053,0.38411167811130525,-0.9341067105957096
2019-05-30 01:00:00,21.20843507285744,-0.04640299705826798,0.3965267040104888,-0.9188607512452097
2019-05-30 02:00:00,21.198184990103893,-0.1617938504043117,0.4098605004003652,-0.903517493981782
2019-05-30 03:00:00,21.30328570160391,-0.017075430818169608,0.4242261908577582,-0.8880773765604921
2019-05-30 04:00:00,20.833992347668058,0.3068684301778643,0.4397164868763487,-0.8725408419927808
2019-05-30 05:00:00,20.586385712666306,0.5515228915296801,0.4564016966091365,-0.8569083385248494
2019-05-30 06:00:00,20.466736186923068,0.5147229674172923,0.47432802257132217,-0.8411803196118793
2019-05-30 07:00:00,20.65119783184731,0.23337952106281856,0.49351617334916487,-0.8253572439106593
2019-05-30 08:00:00,20.9038634745734,-0.07168491470709377,0.5139603104349605,-0.8094395752573208
2019-05-30 09:00:00,20.732166792977054,-0.2324001098244281,0.5356273470442203,-0.7934277826382531
2019-05-30 10:00:00,20.705875600457983,-0.3057907706001723,0.5584566112810992,-0.7773223401867617
2019-05-30 11:00:00,21.06206024773655,-0.49695339970297464,0.5823598814376042,-0.761123727151843
2019-05-30 12:00:00,21.309760316822878,-0.9027691158898491,0.6072217964032038,-0.7448324278782243
2019-05-30 13:00:00,21.59357746393401,-1.3398527493338108,0.6329006393136898,-0.7284489317947487
2019-05-30 14:00:00,21.572386695946857,-1.451521494009165,0.6592294878677407,-0.7119737333845332
2019-05-30 15:00:00,21.659856585040405,-1.0172005237724364,0.6860177198759733,-0.6954073321693341
2019-05-30 16:00:00,20.897243579745652,-0.1789483962795523,0.7130528580566767,-0.6787502326848873
2019-05-30 17:00:00,19.97971978377826,0.6365278086478768,0.7401027336310507,-0.662002944465392
2019-05-30 18:00:00,19.61534354453653,1.04130872920102,0.7669179441173005,-0.6451659820150073
2019-05-30 19:00:00,19.850303935809563,0.9676725436283689,0.7932345767590718,-0.628239864790753
2019-05-30 20:00:00,20.051661583065275,0.6637256690863206,0.8187771655635158,-0.611225117178002
2019-05-30 21:00:00,20.26563070828119,0.4306051560130279,0.84326184668094,-0.5941222684702763
2019-05-30 22:00:00,20.338107937270003,0.3630744183979831,0.8663996741779416,-0.5769318528439746
2019-05-30 23:00:00,20.148561011478673,0.33017728959399756,0.8879000560228576,-0.5596544093416224
