ds,yhat_mean,yhat_lower,yhat_upper
2019-05-29 00:00:00,19.421472282139355,18.133625865916457,20.819204317501036
2019-05-29 01:00:00,19.412858304794305,17.955795281798704,20.806679426478887
2019-05-29 02:00:00,19.442243320225508,17.985607963186702,20.91936337785452
2019-05-29 03:00:00,19.603109111232207,18.266714020180828,21.040820715581525
2019-05-29 04:00:00,19.852839802970593,18.55378420422724,21.27590096009522
2019-05-29 05:00:00,20.042119282670996,18.710981471892275,21.415318566721915
2019-05-29 06:00:00,20.059887502077576,18.687394618579297,21.430743439221818
2019-05-29 07:00:00,19.940760678561055,18.51644344919641,21.348454731991055
2019-05-29 08:00:00,19.820205581494285,18.409928383090907,21.199425891721496
2019-05-29 09:00:00,19.78335570713995,18.404533298565735,21.06299500913276
2019-05-29 10:00:00,19.76956820953571,18.403685592115767,21.21663039527782
2019-05-29 11:00:00,19.642924320308484,18.281532856847136,20.976952490090646
2019-05-29 12:00:00,19.366613179037365,17.950963093082766,20.895374451599253
2019-05-29 13:00:00,19.100916809176677,17.73618423210229,20.551603618896113
2019-05-29 14:00:00,19.10616621043657,17.747231608305896,20.593254393132533
2019-05-29 15:00:00,19.520753739377522,18.1002493020027,20.88621080718088
2019-05-29 16:00:00,20.216199626136977,18.84784239723523,21.624072600069223
2019-05-29 17:00:00,20.8721922567373,19.559611920064597,22.197563035894323
2019-05-29 18:00:00,21.21499505751357,19.81034308835603,22.703538848287657
2019-05-29 19:00:00,21.2118503179997,19.911907598867046,22.558109196047265
2019-05-29 20:00:00,21.056293885752673,19.73212260443603,22.404107256272148
2019-05-29 21:00:00,20.973260910993318,19.622744925335663,22.332250928816578
2019-05-29 22:00:00,21.032361003457613,19.63765197146757,22.330694875618732
2019-05-29 23:00:00,21.13365182275352,19.684100247506606,22.42369079438611
2019-05-30 00:00:00,21.154072854013773,19.812185797603362,22.65609006190135
2019-05-30 01:00:00,21.091114799178044,19.709652108152838,22.472329440462588
2019-05-30 02:00:00,21.058679855844073,19.591650904723025,22.40947471411434
2019-05-30 03:00:00,21.150980505905217,19.68978361942228,22.579894331460903
2019-05-30 04:00:00,21.32617310850874,19.846187452398418,22.76321216412852
2019-05-30 05:00:00,21.43574548507292,20.031132197223066,22.813501555887207
2019-05-30 06:00:00,21.369463186128876,19.993082839492313,22.763679654890762
2019-05-30 07:00:00,21.162779582758162,19.833205777876156,22.62731520769172
2019-05-30 08:00:00,20.952000095873537,19.454896136901894,22.349260984436015
2019-05-30 09:00:00,20.823088491159933,19.45167077475017,22.266999424455825
2019-05-30 10:00:00,20.716214229403953,19.34665188728552,22.163531957906002
2019-05-30 11:00:00,20.496243721347142,18.993346594458483,21.869636757247644
2019-05-30 12:00:00,20.127115519592216,18.76956635341366,21.520334436213847
2019-05-30 13:00:00,19.769817285722496,18.411977991208104,21.146202766214376
2019-05-30 14:00:00,19.685334597339175,18.24082855873908,21.035696513975438
2019-05-30 15:00:00,20.01265685102017,18.765246283744457,21.4007561818718
2019-05-30 16:00:00,20.62383818240167,19.284898055108044,22.050889469187826
2019-05-30 17:00:00,21.19903309360691,19.677053918831028,22.585599384687256
2019-05-30 18:00:00,21.46489967327105,20.054432698702172,22.853714668720865
2019-05-30 19:00:00,21.389000781309583,20.02622187534083,22.946757220009072
2019-05-30 20:00:00,21.165117152723113,19.777878710833463,22.51103263104458
2019-05-30 21:00:00,21.018352607195496,19.651297025293275,22.44293580121758
2019-05-30 22:00:00,21.018409720650325,19.71117328948215,22.35204978161475
2019-05-30 23:00:00,21.065364960529166,19.68397310932626,22.477200753242517
