step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774112692.670877,22.02449562161326,24.0,1.4340584802112288,22.0,1271.8659905620734,65.0
2,1774112692.671026,22.038374729926616,24.0,1.7958486240818308,22.0,2206.0584558281694,65.0
3,1774112692.671166,22.041885947216688,24.0,2.116223673061832,22.0,3317.212790580836,65.0
4,1774112692.671305,22.032940967351365,24.0,2.433650724538322,22.0,4579.37103503515,65.0
5,1774112692.67144,22.00409840614239,24.0,3.1345784181072385,22.0,5876.903006805197,65.0
6,1774112692.678474,21.95857908368962,24.0,3.607255982754753,22.0,7182.973904073005,65.0
7,1774112692.678623,21.900065755293078,24.0,3.6576991986379683,22.0,8541.194488565365,65.0
8,1774112692.678764,21.822404757850094,24.0,4.284949349874569,22.0,9890.927516438041,65.0
9,1774112692.6789,21.72482110171778,24.0,5.135614005962747,22.0,11170.612284534349,65.0
10,1774112692.679036,21.612919805329696,24.0,5.150255435627637,22.0,12276.054123711336,65.0
11,1774112692.686189,21.484741879710434,24.0,5.536288939433441,22.0,12276.054123711336,65.0
12,1774112692.686346,21.356706053685105,24.0,5.534265853187782,22.0,12276.054123711336,65.0
13,1774112692.686501,21.230291812419267,24.0,5.25141390829675,22.0,12276.054123711336,65.0
14,1774112692.686648,21.099515081877275,24.0,6.232341404104365,22.0,12276.054123711336,65.0
15,1774112692.686789,20.969265353671638,24.0,6.124762874786703,22.0,12276.054123711336,65.0
16,1774112692.875151,20.841571710095796,24.0,5.5632455365281706,22.0,12276.054123711336,65.0
17,1774112692.875305,20.713060863420672,24.0,5.761032200008318,22.0,12276.054123711336,65.0
18,1774112692.875454,20.587444038827556,24.0,5.211854930161927,22.0,12276.054123711336,65.0
19,1774112692.875594,20.459394753624608,24.0,5.706348259074261,22.0,12276.054123711336,65.0
20,1774112692.87573,20.33041039354719,24.0,5.94385383145103,22.0,12276.054123711336,65.0
21,1774112692.937176,20.20755380454626,24.0,4.824192063892838,22.0,12276.054123711336,65.0
22,1774112692.937323,20.081280782560878,24.0,5.406926499471854,22.0,12276.054123711336,65.0
23,1774112692.937473,19.955737450470355,24.0,5.29037878511001,22.0,12276.054123711336,65.0
24,1774112692.937611,19.82719169136975,24.0,5.93609048232238,22.0,12276.054123711336,65.0
25,1774112692.93775,19.700596055876588,24.0,5.528903175442329,22.0,12276.054123711336,65.0
26,1774112693.002084,19.57547767056303,24.0,5.266244045744078,22.0,12276.054123711336,65.0
27,1774112693.002232,19.4478300903612,24.0,5.793041748377504,22.0,12276.054123711336,65.0
28,1774112693.002372,19.32347642580701,24.0,5.164638848945778,22.0,12276.054123711336,65.0
29,1774112693.002515,19.197186830522746,24.0,5.540996899070674,22.0,12276.054123711336,65.0
30,1774112693.002652,19.071644769391536,24.0,5.411142790487274,22.0,12276.054123711336,65.0
31,1774112693.063584,18.94555532350102,24.0,5.535660738074251,22.0,12276.054123711336,65.0
32,1774112693.063729,18.824691696898206,24.0,4.690176674147092,22.0,12276.054123711336,65.0
33,1774112693.063868,18.700031975345233,24.0,5.294998706160741,22.0,12276.054123711336,65.0
34,1774112693.064002,18.57329177207855,24.0,5.727405640880228,22.0,12276.054123711336,65.0
35,1774112693.064135,18.45057720794646,24.0,4.995709463451124,22.0,12276.054123711336,65.0
36,1774112693.103612,18.32369036559593,24.0,5.797078194097537,22.0,12276.054123711336,65.0
37,1774112693.103757,18.199883797003498,24.0,5.202626998107881,22.0,12276.054123711336,65.0
38,1774112693.103893,18.071638002169998,24.0,6.166137376963595,22.0,12276.054123711336,65.0
39,1774112693.104024,17.944797422056734,24.0,5.838687525937241,22.0,12276.054123711336,65.0
40,1774112693.104155,17.821224903397532,24.0,5.199751543107976,22.0,12276.054123711336,65.0
41,1774112693.151845,17.698866250725924,24.0,5.010224329776096,22.0,12276.054123711336,65.0
42,1774112693.151992,17.57540712700596,24.0,5.204222451908834,22.0,12276.054123711336,65.0
43,1774112693.15213,17.451433001407008,24.0,5.308515918894752,22.0,12276.054123711336,65.0
44,1774112693.152263,17.32715500948953,24.0,5.3778030479975945,22.0,12276.054123711336,65.0
45,1774112693.152397,17.2004986664148,24.0,5.892648492958734,22.0,12276.054123711336,65.0
46,1774112693.201736,17.075504645371268,24.0,5.543501119763479,22.0,12276.054123711336,65.0
47,1774112693.201882,16.951126840218983,24.0,5.433661692015973,22.0,12276.054123711336,65.0
48,1774112693.202019,16.829993906956048,24.0,4.8935577784831805,22.0,12276.054123711336,65.0
49,1774112693.202151,16.70744660547893,24.0,5.1268041658339,22.0,12276.054123711336,65.0
50,1774112693.202283,16.580574655986737,24.0,6.020005270777811,22.0,12276.054123711336,65.0
51,1774112693.252218,16.458135554270733,24.0,5.129228227345448,22.0,12276.054123711336,65.0
52,1774112693.252363,16.33428662119736,24.0,5.390842428694868,22.0,12276.054123711336,65.0
53,1774112693.252507,16.20989871279146,24.0,5.506869222744788,22.0,12276.054123711336,65.0
54,1774112693.25264,16.0882720552506,24.0,5.024753112266513,22.0,12276.054123711336,65.0
55,1774112693.252771,15.967591752521574,24.0,4.888080004640329,22.0,12276.054123711336,65.0
56,1774112693.295141,15.846775806304743,24.0,4.917348322396233,22.0,12276.054123711336,65.0
57,1774112693.295289,15.722334707105762,24.0,5.565064139405578,22.0,12276.054123711336,65.0
58,1774112693.295426,15.599071679158321,24.0,5.346717964792104,22.0,12276.054123711336,65.0
59,1774112693.295568,15.47721517780738,24.0,5.109658485437218,22.0,12276.054123711336,65.0
60,1774112693.295701,15.356773017851294,24.0,4.895945053362702,22.0,12276.054123711336,65.0
61,1774112693.349516,15.233360899552965,24.0,5.406520616586499,22.0,12276.054123711336,65.0
62,1774112693.349664,15.11062920209062,24.0,5.290331341539328,22.0,12276.054123711336,65.0
63,1774112693.349804,14.986038811577103,24.0,5.666299673580961,22.0,12276.054123711336,65.0
64,1774112693.34994,14.861321560079261,24.0,5.704186379419954,22.0,12276.054123711336,65.0
65,1774112693.350079,14.740858560638454,24.0,4.938101686217095,22.0,12276.054123711336,65.0
66,1774112693.398027,14.621590714650015,24.0,4.770627314631664,22.0,12276.054123711336,65.0
67,1774112693.398176,14.499401204894927,24.0,5.237192032879456,22.0,12276.054123711336,65.0
68,1774112693.398316,14.379520852052774,24.0,4.872978186514355,22.0,12276.054123711336,65.0
69,1774112693.398463,14.258362451230335,24.0,5.079351623666473,22.0,12276.054123711336,65.0
70,1774112693.398601,14.135163205564544,24.0,5.452675051192866,22.0,12276.054123711336,65.0
71,1774112693.445375,14.014126463125336,24.0,5.075673400409626,22.0,12276.054123711336,65.0
72,1774112693.445531,13.895607189640174,24.0,4.708872594925768,22.0,12276.054123711336,65.0
73,1774112693.445672,13.773861054224993,24.0,5.211829022503547,22.0,12276.054123711336,65.0
74,1774112693.445806,13.65551926716538,24.0,4.698356655335054,22.0,12276.054123711336,65.0
75,1774112693.44594,13.528496346377189,24.0,6.417030923304361,22.0,12276.054123711336,65.0
76,1774112693.494301,13.408718025284408,24.0,4.9160385676256215,22.0,12276.054123711336,65.0
77,1774112693.494455,13.287457774136591,24.0,5.16004627778181,22.0,12276.054123711336,65.0
78,1774112693.494595,13.165443875154988,24.0,5.2999123677725,22.0,12276.054123711336,65.0
79,1774112693.494731,13.044297637029509,24.0,5.154735137619085,22.0,12276.054123711336,65.0
80,1774112693.494865,12.918856954917912,24.0,6.0477274634952485,22.0,12276.054123711336,65.0
81,1774112693.549128,12.797154570793316,24.0,5.264344790389092,22.0,12276.054123711336,65.0
82,1774112693.549278,12.676700673732062,24.0,5.057711363873074,22.0,12276.054123711336,65.0
