step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774113787.439553,22.002628666638937,24.0,4.072221400050436,22.0,900.2137021489909,65.0
2,1774113787.439754,22.005116814792245,24.0,5.341918368389657,22.0,1203.5612604284365,65.0
3,1774113787.439907,22.00776185401637,24.0,5.943726500950309,22.0,1469.1851801621285,65.0
4,1774113787.440051,22.010581905408294,24.0,6.339330121178039,22.0,1705.4902763214732,65.0
5,1774113787.440208,22.013026267659185,24.0,7.937265985472267,22.0,1909.9621256913301,65.0
6,1774113787.450393,22.015463449509713,24.0,8.57656446707985,22.0,2087.3387657187504,65.0
7,1774113787.450615,22.018272381173706,24.0,7.995100536070413,22.0,2248.0540377279885,65.0
8,1774113787.450761,22.020903208265615,24.0,8.940948230701842,22.0,2391.006222505619,65.0
9,1774113787.450932,22.023267728471488,24.0,10.30768763317127,22.0,2514.0781916736732,65.0
10,1774113787.45108,22.025836814202815,24.0,9.87080829153356,22.0,2623.8992851644734,65.0
11,1774113787.461095,22.02818806394711,24.0,11.045720955575074,22.0,2718.561709998636,65.0
12,1774113787.461263,22.030531970483228,24.0,11.343405729342216,22.0,2800.3697327901777,65.0
13,1774113787.461424,22.033016917295896,24.0,10.952416649464471,22.0,2873.7828893140954,65.0
14,1774113787.461572,22.03504417692939,24.0,13.49757082191177,22.0,2932.1644742898034,65.0
15,1774113787.461729,22.037105080237502,24.0,13.435929592709291,22.0,2978.9504117323036,65.0
16,1774113787.658303,22.039403084104052,24.0,12.227368361386059,22.0,3020.3893384199146,65.0
17,1774113787.658467,22.04160026373498,24.0,12.850611932156848,22.0,3055.613727586271,65.0
18,1774113787.658616,22.044068417981965,24.0,11.60285713178991,22.0,3090.354491645028,65.0
19,1774113787.658756,22.046273882681156,24.0,12.96117823251437,22.0,3119.957624950325,65.0
20,1774113787.658895,22.04836761555884,24.0,13.659503359859436,22.0,3143.4737701241297,65.0
21,1774113787.731166,22.05105674538862,24.0,10.882134724166256,22.0,3172.2679903315548,65.0
22,1774113787.731332,22.053384360881147,24.0,12.48306807743721,22.0,3198.7546250606883,65.0
