step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774170267.685874,22.002628666638937,24.0,4.072221400050436,22.0,900.2137021489909,65.0
2,1774170267.689858,22.005116814792245,24.0,5.341918368389657,22.0,1203.5612604284365,65.0
3,1774170267.693721,22.00776185401637,24.0,5.943726500950309,22.0,1469.1851801621285,65.0
4,1774170267.697239,22.010581905408294,24.0,6.339330121178039,22.0,1705.4902763214732,65.0
5,1774170267.701011,22.013026267659185,24.0,7.937265985472267,22.0,1909.9621256913301,65.0
6,1774170269.025565,22.01908761430404,24.0,2.99365244486832,24.0,549.25,65.0
7,1774170269.029026,22.026084785569456,24.0,2.7090598824393375,24.0,549.25,65.0
8,1774170269.032722,22.03344471707503,24.0,2.8241549414046903,24.0,549.25,65.0
9,1774170269.03638,22.041050614452892,24.0,3.0334480643642956,24.0,549.25,65.0
10,1774170269.040148,22.049336667072243,24.0,2.8568896609990877,24.0,549.25,65.0
11,1774170269.109391,22.057858912096336,24.0,3.029607131799255,26.0,549.25,65.0
12,1774170269.113174,22.066799156079043,24.0,3.0287019711432075,26.0,549.25,65.0
13,1774170269.11665,22.07628115466352,24.0,2.902149555223726,26.0,549.25,65.0
14,1774170269.120321,22.085691576909543,24.0,3.341031969428534,26.0,549.25,65.0
15,1774170269.123864,22.09548800210327,24.0,3.2928996407239888,26.0,549.25,65.0
16,1774170269.206435,22.105847471484722,24.0,3.0416679379875253,27.0,549.25,65.0
17,1774170269.217857,22.116420746509874,24.0,3.1301608069678295,27.0,549.25,65.0
18,1774170269.227612,22.12756494795756,24.0,2.8844502452324283,27.0,549.25,65.0
19,1774170269.231783,22.1387459874171,24.0,3.1056943503561585,27.0,549.25,65.0
20,1774170269.23569,22.15010145774154,24.0,3.211958084869983,27.0,549.25,65.0
21,1774170269.364502,22.16232184153241,24.0,2.7110037719987914,27.0,549.25,65.0
22,1774170269.374413,22.1744630882961,24.0,2.9717283383100157,27.0,549.25,65.0
