step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774114099.230935,22.058005646663126,24.0,1.2641339353109082,22.0,1841.4047081928252,65.0
2,1774114099.231084,22.110610329523855,24.0,1.3175911778585219,22.0,2015.100515463917,65.0
3,1774114099.231225,22.17410207964607,24.0,1.2823694766615699,22.0,2015.100515463917,65.0
4,1774114099.231362,22.251180069970072,24.0,1.2513520981605613,22.0,2015.100515463917,65.0
5,1774114099.231543,22.32153177345292,24.0,1.3213549395826913,22.0,2015.100515463917,65.0
6,1774114099.239123,22.400225061346582,24.0,1.320989594456228,22.0,2015.100515463917,65.0
7,1774114099.239269,22.502596583560674,24.0,1.2489477898755417,22.0,2015.100515463917,65.0
8,1774114099.239425,22.607767852077995,24.0,1.2763631967673121,22.0,2015.100515463917,65.0
9,1774114099.239595,22.712596465057413,24.0,1.3322909554428928,22.0,2015.100515463917,65.0
10,1774114099.239731,22.835490929153146,24.0,1.284566588592596,22.0,2015.100515463917,65.0
11,1774114099.248407,22.95986854837795,24.0,1.331185477808934,22.0,2015.100515463917,65.0
12,1774114099.248578,23.093752337657257,24.0,1.3309254226989862,22.0,2015.100515463917,65.0
13,1774114099.248726,23.242725262052822,24.0,1.2962254905093498,22.0,2015.100515463917,65.0
14,1774114099.248869,23.3830674291511,24.0,1.4325268610635467,22.0,2015.100515463917,65.0
15,1774114099.249026,23.53337451937113,24.0,1.415147702607968,22.0,2015.100515463917,65.0
16,1774114099.377264,23.701057964965884,24.0,1.334667508725961,22.0,2015.100515463917,65.0
17,1774114099.377411,23.87262770487319,24.0,1.3612173195289636,22.0,2015.100515463917,65.0
18,1774114099.377562,24.06251608084845,24.0,1.2916214678062532,22.0,2015.100515463917,65.0
19,1774114099.3777,24.249823305309256,24.0,1.3536953798772593,22.0,2015.100515463917,65.0
20,1774114099.377832,24.44021532729459,24.0,1.387440909569215,22.0,2015.100515463917,65.0
21,1774114099.447922,24.661225661478,24.0,1.2493932664549108,22.0,2015.100515463917,65.0
22,1774114099.448073,24.875638264110624,24.0,1.314904549339885,22.0,2015.100515463917,65.0
23,1774114099.448217,25.099787773809364,24.0,1.3008177608876026,22.0,2015.100515463917,65.0
24,1774114099.448354,25.318856608485497,24.0,1.3862922822096808,22.0,2015.100515463917,65.0
25,1774114099.448504,25.55190036442538,24.0,1.3302369373060976,22.0,2015.100515463917,65.0
26,1774114099.512877,25.796841662151568,24.0,1.2979665487388392,22.0,2015.100515463917,65.0
27,1774114099.513027,26.037862968099397,24.0,1.3656872718681472,22.0,2015.100515463917,65.0
28,1774114099.513169,26.297623582778126,24.0,1.286201608449328,22.0,2015.100515463917,65.0
29,1774114099.513307,26.555554973063384,24.0,1.3317913407869277,22.0,2015.100515463917,65.0
30,1774114099.513455,26.82207255915455,24.0,1.3154242759716315,22.0,2015.100515463917,65.0
31,1774114099.573086,27.09193761394469,24.0,1.3311047075440752,22.0,2015.100515463917,65.0
32,1774114099.573232,27.387801192357593,24.0,1.2359140803229698,22.0,2015.100515463917,65.0
33,1774114099.573372,27.674559275934826,24.0,1.3013660769717639,22.0,2015.100515463917,65.0
34,1774114099.573514,27.958893662981424,24.0,1.3565749985705886,22.0,2015.100515463917,65.0
35,1774114099.57365,28.264478551180897,24.0,1.267455350809771,22.0,2015.100515463917,65.0
36,1774114099.618551,28.559033865008224,24.0,1.3662545044813201,22.0,2015.100515463917,65.0
37,1774114099.618722,28.8707541330232,24.0,1.290555813205027,22.0,2015.100515463917,65.0
38,1774114099.618866,29.16985995917466,24.0,1.4217486560264874,22.0,2015.100515463917,65.0
39,1774114099.619006,29.478775298204376,24.0,1.3721489561828053,22.0,2015.100515463917,65.0
40,1774114099.619147,29.804456667944482,24.0,1.2902243900302335,22.0,2015.100515463917,65.0
41,1774114099.667453,30.138945586359608,24.0,1.269027725585388,22.0,2015.100515463917,65.0
42,1774114099.667606,30.473410277717452,24.0,1.2907398349202768,22.0,2015.100515463917,65.0
43,1774114099.667749,30.810231254843416,24.0,1.3029750728783198,22.0,2015.100515463917,65.0
44,1774114099.667887,31.150163688981067,24.0,1.3113341745093712,22.0,2015.100515463917,65.0
45,1774114099.668029,31.484840136618388,24.0,1.3799235629576698,22.0,2015.100515463917,65.0
46,1774114099.714306,31.8297244174582,24.0,1.3321139971606364,22.0,2015.100515463917,65.0
47,1774114099.714466,32.1804639980014,24.0,1.3182123412258173,22.0,2015.100515463917,65.0
48,1774114099.71461,32.547390864845354,24.0,1.2565849695083586,22.0,2015.100515463917,65.0
49,1774114099.714752,32.91249111110345,24.0,1.281916627237466,22.0,2015.100515463917,65.0
50,1774114099.714891,33.2643583850827,24.0,1.3988805920078067,22.0,2015.100515463917,65.0
51,1774114099.764827,33.63702647356124,24.0,1.2821896380881095,22.0,2015.100515463917,65.0
52,1774114099.764974,34.00748928970074,24.0,1.312928518757667,22.0,2015.100515463917,65.0
53,1774114099.76512,34.37909010154641,24.0,1.3274210586029453,22.0,2015.100515463917,65.0
